timestamp,country,views,sports,devices,browsers,ip_addresses
2024-05-25 09:41:32.058170,Botswana,43,High Jump,Desktop,Chrome,190.1.13.41
2024-05-25 09:36:20.058170,Germany,99,Basketball,Mobile,Edge,5.8.6.7
2024-05-23 11:09:03.058170,UK,31,Gymnastics,Desktop,Firefox,190.1.13.41
2024-05-27 04:27:28.058170,UK,59,Basketball,Desktop,Firefox,190.1.13.41
2024-05-27 02:23:35.058170,France,8,Shotput,Mobile,Safari,190.1.13.41
2024-05-25 16:03:06.058170,UK,59,Basketball,Desktop,Edge,102.12.29.5
2024-05-26 09:46:27.058170,Japan,17,Football,Tablet,Safari,102.12.29.5
2024-05-25 02:07:06.058170,UK,75,Football,Mobile,Firefox,190.1.13.41
2024-05-25 06:34:48.058170,Japan,19,Basketball,Tablet,Safari,119.3.34.1
2024-05-26 06:54:24.058170,Germany,58,High Jump,Desktop,Chrome,5.8.6.7
2024-05-24 23:32:54.058170,Canada,58,Shotput,Tablet,Firefox,102.12.29.5
2024-05-25 22:32:01.058170,Japan,26,Netball,Tablet,Edge,102.12.29.5
2024-05-26 10:07:37.058170,Botswana,98,Shotput,Desktop,Firefox,119.3.34.1
2024-05-24 11:32:04.058170,Canada,73,Netball,Mobile,Safari,5.8.6.7
2024-05-24 06:17:21.058170,Russia,54,Football,Tablet,Firefox,190.1.13.41
2024-05-25 03:36:28.058170,UK,33,Gymnastics,Desktop,Firefox,5.8.6.7
2024-05-23 12:00:13.058170,Botswana,34,Basketball,Mobile,Chrome,102.12.29.5
2024-05-24 02:30:36.058170,Botswana,80,Netball,Desktop,Edge,5.8.6.7
2024-05-27 06:20:05.058170,UK,64,Gymnastics,Tablet,Safari,5.8.6.7
2024-05-25 13:52:54.058170,USA,7,Football,Desktop,Safari,5.8.6.7
2024-05-26 19:55:12.058170,France,26,Netball,Tablet,Firefox,190.1.13.41
2024-05-24 20:36:32.058170,USA,97,Football,Desktop,Chrome,102.12.29.5
2024-05-24 12:07:31.058170,Russia,31,High Jump,Desktop,Chrome,190.1.13.41
2024-05-25 20:55:33.058170,France,57,High Jump,Tablet,Edge,5.8.6.7
2024-05-23 17:25:27.058170,Canada,23,Netball,Tablet,Edge,119.3.34.1
2024-05-27 04:26:24.058170,Russia,87,High Jump,Desktop,Firefox,5.8.6.7
2024-05-24 19:03:49.058170,Canada,54,Shotput,Tablet,Safari,119.3.34.1
2024-05-25 06:38:22.058170,UK,41,Basketball,Desktop,Safari,5.8.6.7
2024-05-23 18:57:11.058170,France,8,Netball,Mobile,Chrome,102.12.29.5
2024-05-25 06:58:47.058170,Canada,90,Shotput,Tablet,Chrome,102.12.29.5
2024-05-23 14:05:33.058170,Russia,10,Gymnastics,Desktop,Chrome,119.3.34.1
2024-05-26 11:06:02.058170,Russia,6,Netball,Desktop,Firefox,102.12.29.5
2024-05-23 13:04:57.058170,Germany,38,Netball,Mobile,Chrome,102.12.29.5
2024-05-24 11:53:19.058170,UK,87,Shotput,Desktop,Safari,190.1.13.41
2024-05-26 06:25:29.058170,UK,73,Netball,Mobile,Safari,190.1.13.41
2024-05-26 04:49:36.058170,Germany,52,Gymnastics,Tablet,Safari,102.12.29.5
2024-05-24 16:39:19.058170,USA,90,Gymnastics,Desktop,Edge,102.12.29.5
2024-05-23 14:58:19.058170,UK,70,Netball,Tablet,Firefox,190.1.13.41
2024-05-27 05:30:48.058170,Japan,25,Shotput,Desktop,Safari,190.1.13.41
2024-05-24 21:07:28.058170,Germany,81,Basketball,Tablet,Safari,119.3.34.1
2024-05-24 08:03:28.058170,France,71,Gymnastics,Desktop,Chrome,119.3.34.1
2024-05-27 06:39:53.058170,USA,76,Football,Mobile,Firefox,190.1.13.41
2024-05-25 16:09:35.058170,Canada,92,Netball,Desktop,Edge,5.8.6.7
2024-05-25 18:51:45.058170,Botswana,70,Shotput,Mobile,Firefox,190.1.13.41
2024-05-24 13:37:30.058170,Germany,85,Football,Tablet,Firefox,119.3.34.1
2024-05-24 14:49:57.058170,Japan,83,Basketball,Desktop,Safari,5.8.6.7
2024-05-25 19:44:41.058170,USA,83,Basketball,Mobile,Firefox,190.1.13.41
2024-05-24 05:40:29.058170,France,87,Football,Mobile,Safari,190.1.13.41
2024-05-25 20:39:31.058170,Germany,89,Gymnastics,Mobile,Chrome,119.3.34.1
2024-05-26 08:37:09.058170,Canada,22,Gymnastics,Mobile,Safari,5.8.6.7
2024-05-23 11:44:36.058170,Botswana,5,High Jump,Tablet,Firefox,102.12.29.5
2024-05-25 16:12:57.058170,UK,2,Shotput,Tablet,Chrome,102.12.29.5
2024-05-26 13:05:36.058170,Russia,91,High Jump,Tablet,Edge,102.12.29.5
2024-05-25 20:35:36.058170,Germany,16,Football,Mobile,Firefox,190.1.13.41
2024-05-25 16:49:33.058170,France,21,High Jump,Mobile,Edge,190.1.13.41
2024-05-24 18:31:21.058170,Japan,30,Netball,Desktop,Edge,5.8.6.7
2024-05-26 05:34:56.058170,Germany,32,Netball,Mobile,Chrome,5.8.6.7
2024-05-26 00:06:37.058170,Canada,47,Shotput,Desktop,Chrome,190.1.13.41
2024-05-24 12:01:37.058170,UK,54,Football,Desktop,Firefox,190.1.13.41
2024-05-26 18:18:33.058170,France,21,Basketball,Desktop,Chrome,5.8.6.7
2024-05-23 21:09:39.058170,USA,88,Shotput,Desktop,Safari,102.12.29.5
2024-05-23 23:58:50.058170,UK,84,Football,Desktop,Safari,102.12.29.5
2024-05-24 19:30:54.058170,UK,79,Shotput,Tablet,Edge,102.12.29.5
2024-05-24 20:08:54.058170,USA,10,Shotput,Desktop,Firefox,119.3.34.1
2024-05-26 13:37:46.058170,France,99,Netball,Desktop,Chrome,190.1.13.41
2024-05-26 21:27:38.058170,France,90,Gymnastics,Mobile,Chrome,190.1.13.41
2024-05-24 13:16:32.058170,Germany,81,Football,Tablet,Edge,190.1.13.41
2024-05-25 18:28:01.058170,Canada,48,Shotput,Tablet,Edge,5.8.6.7
2024-05-25 06:03:12.058170,UK,46,Netball,Tablet,Edge,190.1.13.41
2024-05-24 09:49:14.058170,Canada,23,High Jump,Mobile,Chrome,5.8.6.7
2024-05-24 13:55:39.058170,USA,46,Gymnastics,Mobile,Chrome,102.12.29.5
2024-05-26 23:41:17.058170,UK,12,Shotput,Mobile,Safari,119.3.34.1
2024-05-26 16:48:56.058170,Japan,17,Shotput,Tablet,Chrome,5.8.6.7
2024-05-26 06:34:45.058170,USA,76,Football,Tablet,Safari,102.12.29.5
2024-05-27 01:36:50.058170,France,45,Football,Desktop,Safari,5.8.6.7
2024-05-25 19:17:57.058170,Russia,95,Basketball,Desktop,Firefox,119.3.34.1
2024-05-25 20:56:54.058170,Canada,39,Netball,Desktop,Chrome,190.1.13.41
2024-05-23 22:45:59.058170,USA,2,Netball,Desktop,Firefox,119.3.34.1
2024-05-25 10:57:36.058170,Japan,43,High Jump,Tablet,Edge,190.1.13.41
2024-05-25 14:08:36.058170,Canada,76,Football,Mobile,Safari,102.12.29.5
2024-05-23 11:05:50.058170,UK,29,Football,Desktop,Chrome,102.12.29.5
2024-05-25 14:47:31.058170,Germany,9,Basketball,Tablet,Firefox,5.8.6.7
2024-05-26 04:27:55.058170,Russia,66,Netball,Mobile,Chrome,119.3.34.1
2024-05-23 19:11:31.058170,USA,64,Shotput,Desktop,Firefox,5.8.6.7
2024-05-25 14:05:19.058170,Japan,60,Netball,Desktop,Chrome,102.12.29.5
2024-05-25 14:04:24.058170,USA,51,Football,Desktop,Chrome,190.1.13.41
2024-05-25 20:59:06.058170,Canada,27,High Jump,Mobile,Firefox,102.12.29.5
2024-05-27 02:17:18.058170,USA,79,Netball,Mobile,Safari,190.1.13.41
2024-05-26 20:12:00.058170,Japan,5,Gymnastics,Mobile,Edge,190.1.13.41
2024-05-23 23:06:05.058170,Germany,18,High Jump,Mobile,Safari,102.12.29.5
2024-05-24 11:16:05.058170,Russia,40,Football,Tablet,Safari,102.12.29.5
2024-05-24 03:40:31.058170,Japan,98,Football,Desktop,Edge,102.12.29.5
2024-05-26 09:48:02.058170,Japan,43,Gymnastics,Desktop,Firefox,5.8.6.7
2024-05-26 07:33:53.058170,Germany,73,Gymnastics,Mobile,Firefox,119.3.34.1
2024-05-26 01:34:33.058170,Botswana,58,High Jump,Desktop,Chrome,5.8.6.7
2024-05-24 00:31:43.058170,UK,16,Football,Desktop,Chrome,190.1.13.41
2024-05-23 10:09:33.058170,USA,47,Gymnastics,Mobile,Safari,119.3.34.1
2024-05-26 04:00:39.058170,Botswana,97,High Jump,Desktop,Firefox,190.1.13.41
2024-05-26 02:35:30.058170,France,25,Football,Tablet,Chrome,5.8.6.7
2024-05-23 12:48:47.058170,Russia,87,Shotput,Tablet,Firefox,119.3.34.1
2024-05-24 22:48:22.058170,Russia,30,Gymnastics,Tablet,Edge,119.3.34.1
2024-05-27 08:03:11.058170,Germany,38,Shotput,Desktop,Edge,102.12.29.5
2024-05-26 17:34:38.058170,UK,66,High Jump,Desktop,Edge,190.1.13.41
2024-05-25 17:38:11.058170,Canada,9,Basketball,Mobile,Firefox,119.3.34.1
2024-05-26 07:26:24.058170,Russia,37,Basketball,Mobile,Edge,190.1.13.41
2024-05-24 07:30:27.058170,Canada,63,Shotput,Tablet,Edge,5.8.6.7
2024-05-25 13:39:51.058170,UK,38,High Jump,Mobile,Edge,190.1.13.41
2024-05-24 10:30:16.058170,UK,8,Netball,Tablet,Chrome,190.1.13.41
2024-05-23 20:37:23.058170,USA,18,Football,Tablet,Firefox,190.1.13.41
2024-05-24 22:03:25.058170,Germany,98,Gymnastics,Tablet,Safari,5.8.6.7
2024-05-25 09:16:42.058170,UK,38,Netball,Tablet,Safari,5.8.6.7
2024-05-23 16:27:10.058170,Germany,85,Shotput,Tablet,Chrome,5.8.6.7
2024-05-27 03:18:57.058170,Botswana,40,Gymnastics,Desktop,Edge,102.12.29.5
2024-05-25 00:10:09.058170,France,32,Gymnastics,Mobile,Safari,119.3.34.1
2024-05-26 04:30:28.058170,Canada,79,Netball,Desktop,Firefox,190.1.13.41
2024-05-25 12:09:17.058170,France,85,High Jump,Desktop,Edge,102.12.29.5
2024-05-26 02:30:43.058170,France,93,Netball,Desktop,Firefox,5.8.6.7
2024-05-23 15:59:01.058170,Japan,8,Basketball,Mobile,Firefox,102.12.29.5
2024-05-25 20:51:22.058170,UK,37,Shotput,Mobile,Firefox,190.1.13.41
2024-05-24 07:30:37.058170,France,10,Netball,Desktop,Firefox,119.3.34.1
2024-05-24 11:35:40.058170,France,62,Football,Tablet,Chrome,102.12.29.5
2024-05-26 19:08:04.058170,UK,30,Basketball,Tablet,Safari,190.1.13.41
2024-05-25 17:42:55.058170,USA,95,High Jump,Mobile,Firefox,119.3.34.1
2024-05-25 18:18:27.058170,USA,22,Gymnastics,Desktop,Edge,119.3.34.1
2024-05-24 10:40:25.058170,Russia,59,Football,Mobile,Safari,102.12.29.5
2024-05-26 20:38:24.058170,Japan,51,Football,Desktop,Safari,119.3.34.1
2024-05-24 11:15:54.058170,Canada,5,Gymnastics,Tablet,Chrome,102.12.29.5
2024-05-25 14:06:24.058170,USA,27,Shotput,Tablet,Chrome,119.3.34.1
2024-05-23 13:54:44.058170,Canada,6,High Jump,Desktop,Safari,102.12.29.5
2024-05-26 09:00:29.058170,Russia,54,Gymnastics,Tablet,Safari,5.8.6.7
2024-05-23 18:30:59.058170,USA,95,Shotput,Mobile,Edge,190.1.13.41
2024-05-24 15:45:18.058170,France,32,Gymnastics,Mobile,Safari,190.1.13.41
2024-05-24 04:31:24.058170,Canada,78,Gymnastics,Desktop,Edge,190.1.13.41
2024-05-26 08:39:01.058170,Japan,87,Netball,Mobile,Edge,190.1.13.41
2024-05-25 03:59:02.058170,USA,34,Football,Mobile,Safari,5.8.6.7
2024-05-23 21:11:06.058170,Germany,50,Gymnastics,Desktop,Firefox,102.12.29.5
2024-05-26 07:15:41.058170,Canada,37,Basketball,Mobile,Edge,102.12.29.5
2024-05-26 19:47:29.058170,UK,79,Basketball,Desktop,Firefox,5.8.6.7
2024-05-25 11:57:01.058170,Canada,61,Basketball,Mobile,Safari,5.8.6.7
2024-05-23 17:17:56.058170,France,41,High Jump,Desktop,Safari,5.8.6.7
2024-05-27 05:30:24.058170,Botswana,23,Gymnastics,Tablet,Safari,102.12.29.5
2024-05-23 18:22:03.058170,Canada,18,Basketball,Mobile,Firefox,119.3.34.1
2024-05-25 16:49:47.058170,Russia,3,Netball,Tablet,Chrome,119.3.34.1
2024-05-27 07:51:25.058170,Germany,81,Basketball,Desktop,Safari,119.3.34.1
2024-05-26 22:27:25.058170,Canada,63,High Jump,Mobile,Safari,119.3.34.1
2024-05-25 04:35:25.058170,Canada,60,Gymnastics,Mobile,Safari,190.1.13.41
2024-05-25 12:50:24.058170,Canada,76,Basketball,Desktop,Edge,190.1.13.41
2024-05-23 15:55:23.058170,France,16,Shotput,Tablet,Edge,5.8.6.7
2024-05-23 09:44:02.058170,Russia,59,Netball,Desktop,Firefox,119.3.34.1
2024-05-25 08:52:46.058170,Botswana,97,Gymnastics,Desktop,Safari,190.1.13.41
2024-05-24 13:56:55.058170,Russia,94,Basketball,Mobile,Safari,190.1.13.41
2024-05-27 03:04:49.058170,Russia,70,Football,Mobile,Firefox,5.8.6.7
2024-05-24 14:00:32.058170,France,29,Football,Tablet,Edge,5.8.6.7
2024-05-24 19:50:48.058170,USA,38,High Jump,Desktop,Edge,5.8.6.7
2024-05-27 06:03:43.058170,USA,72,Basketball,Desktop,Safari,5.8.6.7
2024-05-26 10:56:53.058170,France,20,Netball,Mobile,Firefox,102.12.29.5
2024-05-27 04:07:30.058170,Botswana,45,Shotput,Desktop,Chrome,5.8.6.7
2024-05-26 13:27:03.058170,Germany,15,Gymnastics,Tablet,Chrome,119.3.34.1
2024-05-27 08:51:17.058170,USA,14,Basketball,Tablet,Firefox,5.8.6.7
2024-05-26 17:55:47.058170,UK,94,Basketball,Tablet,Firefox,190.1.13.41
2024-05-23 22:38:46.058170,Japan,66,High Jump,Tablet,Edge,190.1.13.41
2024-05-26 19:54:41.058170,Japan,30,Shotput,Mobile,Edge,102.12.29.5
2024-05-24 13:59:04.058170,Germany,53,Shotput,Desktop,Safari,5.8.6.7
2024-05-26 09:44:32.058170,Botswana,22,Football,Mobile,Edge,102.12.29.5
2024-05-26 03:13:13.058170,Botswana,93,Shotput,Desktop,Safari,119.3.34.1
2024-05-26 22:31:13.058170,UK,87,Football,Desktop,Edge,119.3.34.1
2024-05-26 06:36:59.058170,UK,23,Shotput,Mobile,Safari,102.12.29.5
2024-05-25 15:58:28.058170,USA,71,Netball,Mobile,Chrome,5.8.6.7
2024-05-23 16:01:59.058170,Botswana,16,High Jump,Desktop,Chrome,190.1.13.41
2024-05-23 15:23:51.058170,Russia,51,Basketball,Tablet,Chrome,119.3.34.1
2024-05-25 10:40:30.058170,France,43,Basketball,Tablet,Chrome,5.8.6.7
2024-05-23 14:06:24.058170,UK,8,Gymnastics,Desktop,Firefox,190.1.13.41
2024-05-27 01:23:45.058170,Japan,85,High Jump,Tablet,Firefox,190.1.13.41
2024-05-26 05:39:52.058170,Japan,46,Shotput,Tablet,Safari,5.8.6.7
2024-05-26 01:13:59.058170,France,3,Shotput,Mobile,Chrome,5.8.6.7
2024-05-26 08:01:17.058170,UK,85,Netball,Mobile,Edge,119.3.34.1
2024-05-26 11:03:59.058170,Japan,7,Shotput,Tablet,Edge,5.8.6.7
2024-05-27 00:52:00.058170,USA,38,Shotput,Tablet,Edge,5.8.6.7
2024-05-27 06:30:00.058170,USA,48,Netball,Desktop,Chrome,119.3.34.1
2024-05-27 01:55:30.058170,Germany,99,Gymnastics,Mobile,Chrome,102.12.29.5
2024-05-24 15:08:09.058170,UK,45,Basketball,Tablet,Edge,5.8.6.7
2024-05-24 15:17:16.058170,Germany,42,Gymnastics,Desktop,Edge,190.1.13.41
2024-05-25 22:31:26.058170,Botswana,24,Shotput,Tablet,Chrome,5.8.6.7
2024-05-23 12:27:41.058170,Botswana,6,High Jump,Mobile,Firefox,102.12.29.5
2024-05-25 07:40:00.058170,Russia,64,Netball,Tablet,Edge,5.8.6.7
2024-05-27 08:40:18.058170,Germany,17,Shotput,Tablet,Firefox,119.3.34.1
2024-05-24 15:26:24.058170,Japan,38,Shotput,Tablet,Firefox,190.1.13.41
2024-05-24 02:40:42.058170,Japan,87,High Jump,Mobile,Firefox,119.3.34.1
2024-05-26 04:19:20.058170,Germany,74,Netball,Mobile,Edge,190.1.13.41
2024-05-26 13:56:02.058170,Canada,4,Football,Tablet,Firefox,5.8.6.7
2024-05-24 05:47:51.058170,Russia,55,Netball,Tablet,Edge,5.8.6.7
2024-05-26 22:59:55.058170,Germany,1,Netball,Desktop,Firefox,119.3.34.1
2024-05-25 02:18:47.058170,Russia,36,Gymnastics,Mobile,Firefox,5.8.6.7
2024-05-23 16:23:23.058170,Botswana,31,Football,Mobile,Firefox,102.12.29.5
2024-05-27 03:59:42.058170,Canada,1,Shotput,Mobile,Safari,119.3.34.1
2024-05-27 02:15:16.058170,France,83,Netball,Tablet,Safari,190.1.13.41
2024-05-24 15:39:35.058170,USA,81,Netball,Tablet,Safari,5.8.6.7
2024-05-23 20:11:20.058170,UK,88,Netball,Mobile,Firefox,190.1.13.41
2024-05-27 05:54:35.058170,Botswana,42,Football,Desktop,Edge,102.12.29.5
2024-05-26 11:08:17.058170,Canada,91,High Jump,Mobile,Edge,102.12.29.5
2024-05-27 02:18:14.058170,UK,70,Basketball,Desktop,Chrome,190.1.13.41
2024-05-26 08:49:37.058170,Japan,44,Gymnastics,Tablet,Firefox,102.12.29.5
2024-05-25 04:17:47.058170,USA,65,Basketball,Desktop,Safari,119.3.34.1
2024-05-24 10:05:46.058170,UK,57,Gymnastics,Desktop,Firefox,190.1.13.41
2024-05-25 22:58:56.058170,USA,100,Netball,Tablet,Safari,119.3.34.1
2024-05-25 09:34:56.058170,USA,46,Football,Tablet,Edge,5.8.6.7
2024-05-25 02:21:17.058170,Botswana,43,High Jump,Mobile,Firefox,5.8.6.7
2024-05-27 04:52:59.058170,Russia,28,Basketball,Mobile,Chrome,5.8.6.7
2024-05-27 04:55:26.058170,Russia,59,Football,Tablet,Chrome,190.1.13.41
2024-05-24 20:38:03.058170,Germany,90,Football,Tablet,Chrome,102.12.29.5
2024-05-24 13:10:50.058170,Japan,61,Gymnastics,Mobile,Safari,102.12.29.5
2024-05-23 09:02:05.058170,Canada,83,Shotput,Tablet,Safari,5.8.6.7
2024-05-26 21:47:05.058170,UK,6,Gymnastics,Desktop,Firefox,102.12.29.5
2024-05-26 22:32:47.058170,USA,93,Gymnastics,Tablet,Safari,5.8.6.7
2024-05-27 03:27:20.058170,Botswana,47,Gymnastics,Desktop,Edge,190.1.13.41
2024-05-25 03:27:07.058170,Japan,87,Netball,Mobile,Edge,102.12.29.5
2024-05-25 15:55:04.058170,France,38,Gymnastics,Desktop,Chrome,102.12.29.5
2024-05-24 03:50:24.058170,USA,61,Football,Desktop,Firefox,5.8.6.7
2024-05-27 05:24:37.058170,France,47,High Jump,Mobile,Edge,5.8.6.7
2024-05-24 22:37:32.058170,Russia,95,Football,Desktop,Firefox,190.1.13.41
2024-05-27 02:02:47.058170,France,63,Netball,Mobile,Edge,5.8.6.7
2024-05-25 15:10:23.058170,Russia,34,Football,Tablet,Firefox,190.1.13.41
2024-05-24 23:53:05.058170,Germany,65,Basketball,Tablet,Firefox,102.12.29.5
2024-05-25 03:04:48.058170,UK,15,High Jump,Desktop,Chrome,102.12.29.5
2024-05-26 11:53:53.058170,Russia,8,Netball,Tablet,Edge,102.12.29.5
2024-05-25 09:19:16.058170,Germany,18,High Jump,Tablet,Safari,190.1.13.41
2024-05-27 03:14:32.058170,Botswana,67,Football,Tablet,Edge,190.1.13.41
2024-05-23 16:58:05.058170,Germany,9,Basketball,Desktop,Chrome,190.1.13.41
2024-05-27 01:42:04.058170,Germany,59,Gymnastics,Tablet,Chrome,102.12.29.5
2024-05-25 07:44:23.058170,Japan,50,Football,Tablet,Edge,119.3.34.1
2024-05-25 14:58:23.058170,USA,5,Football,Tablet,Edge,190.1.13.41
2024-05-25 22:20:11.058170,Russia,46,Gymnastics,Tablet,Firefox,190.1.13.41
2024-05-26 07:34:15.058170,Germany,62,High Jump,Mobile,Chrome,102.12.29.5
2024-05-27 07:36:49.058170,USA,42,Netball,Desktop,Firefox,5.8.6.7
2024-05-24 04:39:25.058170,Canada,13,Basketball,Tablet,Edge,102.12.29.5
2024-05-25 14:09:04.058170,Germany,83,Basketball,Mobile,Safari,5.8.6.7
2024-05-24 19:32:23.058170,UK,76,Gymnastics,Mobile,Safari,190.1.13.41
2024-05-26 14:31:35.058170,Japan,30,Netball,Desktop,Chrome,102.12.29.5
2024-05-26 05:16:04.058170,France,11,Basketball,Desktop,Safari,102.12.29.5
2024-05-26 22:01:59.058170,Russia,47,Basketball,Desktop,Firefox,5.8.6.7
2024-05-25 22:16:17.058170,Russia,11,Football,Tablet,Safari,119.3.34.1
2024-05-24 04:14:53.058170,France,63,Football,Desktop,Chrome,5.8.6.7
2024-05-24 17:16:24.058170,Russia,56,Football,Mobile,Edge,102.12.29.5
2024-05-27 04:09:53.058170,Japan,97,Shotput,Tablet,Safari,102.12.29.5
2024-05-23 13:57:53.058170,Canada,10,Football,Desktop,Chrome,190.1.13.41
2024-05-23 18:03:32.058170,Japan,42,Basketball,Tablet,Edge,5.8.6.7
